rank,music,artist,photo,year
1,Bad Day,Daniel Powter,https://charts-static.billboard.com/img/1840/12/daniel-powter-nsa-53x53.jpg,2006
2,Temperature,Sean Paul,https://charts-static.billboard.com/img/2005/12/sean-paul-uyx-53x53.jpg,2006
3,Promiscuous,Nelly Furtado Featuring Timbaland,https://charts-static.billboard.com/img/2006/05/nelly-furtado-ezw-53x53.jpg,2006
4,You're Beautiful,James Blunt,https://charts-static.billboard.com/img/2005/07/james-blunt-nim-53x53.jpg,2006
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,https://charts-static.billboard.com/img/2006/03/shakira-mhe-53x53.jpg,2006
6,Unwritten,Natasha Bedingfield,https://charts-static.billboard.com/img/2005/11/natasha-bedingfield-z7w-53x53.jpg,2006
7,Crazy,Gnarls Barkley,https://charts-static.billboard.com/img/2006/04/gnarls-barkley-bom-53x53.jpg,2006
8,Ridin',Chamillionaire Featuring Krayzie Bone,https://charts-static.billboard.com/img/2006/01/chamillionaire-brc-53x53.jpg,2006
9,SexyBack,Justin Timberlake,https://charts-static.billboard.com/img/2006/07/justin-timberlake-bcj-53x53.jpg,2006
10,Check On It,Beyonce Featuring Slim Thug,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,2006
11,Be Without You,Mary J. Blige,https://charts-static.billboard.com/img/2017/07/mary-j-blige-53x53.jpg,2006
12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",https://charts-static.billboard.com/img/2005/10/nelly-fmf-53x53.jpg,2006
13,Over My Head (Cable Car),The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,2006
14,Me & U,Cassie,https://charts-static.billboard.com/img/2006/03/cassie-68b-53x53.jpg,2006
15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,https://charts-static.billboard.com/img/2006/04/the-pussycat-dolls-t1l-53x53.jpg,2006
16,Run It!,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-cte-53x53.jpg,2006
17,So Sick,Ne-Yo,https://charts-static.billboard.com/img/2005/10/ne-yo-kuu-53x53.jpg,2006
18,It's Goin' Down,Yung Joc,https://charts-static.billboard.com/img/2006/01/yung-joc-f7d-53x53.jpg,2006
19,SOS,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,2006
20,I Write Sins Not Tragedies,Panic! At The Disco,https://charts-static.billboard.com/img/2006/02/panic-at-the-disco-yl6-53x53.jpg,2006
21,Move Along,The All-American Rejects,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg,2006
22,London Bridge,Fergie,https://charts-static.billboard.com/img/2006/07/fergie-8pu-53x53.jpg,2006
23,Dani California,Red Hot Chili Peppers,https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-v42-53x53.jpg,2006
24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,https://charts-static.billboard.com/img/2005/12/lil-jon-cje-53x53.jpg,2006
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,https://charts-static.billboard.com/img/2005/11/dem-franchize-boyz-a35-53x53.jpg,2006
26,What Hurts The Most,Rascal Flatts,https://charts-static.billboard.com/img/2006/01/rascal-flatts-o8u-53x53.jpg,2006
27,How To Save A Life,The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,2006
28,Unfaithful,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,2006
29,Chasing Cars,Snow Patrol,https://charts-static.billboard.com/img/1840/12/snow-patrol-45e-53x53.jpg,2006
30,Lips Of An Angel,Hinder,https://charts-static.billboard.com/img/2006/04/hinder-iwo-53x53.jpg,2006
31,Everytime We Touch,Cascada,https://charts-static.billboard.com/img/2005/09/cascada-tir-53x53.jpg,2006
32,Ain't No Other Man,Christina Aguilera,https://charts-static.billboard.com/img/2006/06/christina-aguilera-9ag-53x53.jpg,2006
33,"Dance, Dance",Fall Out Boy,https://charts-static.billboard.com/img/2005/10/fall-out-boy-zhw-53x53.jpg,2006
34,Gold Digger,Kanye West Featuring Jamie Foxx,https://charts-static.billboard.com/img/2005/07/kanye-west-nwz-gold-digger-g7e-53x53.jpg,2006
35,Money Maker,Ludacris Featuring Pharrell,https://charts-static.billboard.com/img/2006/07/ludacris-5cn-53x53.jpg,2006
36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,https://charts-static.billboard.com/img/2005/12/bubba-sparxxx-y2o-53x53.jpg,2006
37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,https://charts-static.billboard.com/img/2006/04/sean-paul-uyx-53x53.jpg,2006
38,Photograph,Nickelback,https://charts-static.billboard.com/img/2017/07/nickelback-53x53.jpg,2006
39,Because Of You,Kelly Clarkson,https://charts-static.billboard.com/img/2005/08/kelly-clarkson-091-53x53.jpg,2006
40,Stickwitu,The Pussycat Dolls,https://charts-static.billboard.com/img/2005/10/the-pussycat-dolls-t1l-53x53.jpg,2006
41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,https://charts-static.billboard.com/img/2005/12/t-pain-kj8-53x53.jpg,2006
42,My Humps,The Black Eyed Peas,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg,2006
43,Where'd You Go,Fort Minor Featuring Holly Brook,https://charts-static.billboard.com/img/2006/04/fort-minor-57z-53x53.jpg,2006
44,Yo (Excuse Me Miss),Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,2006
45,Walk Away,Kelly Clarkson,https://charts-static.billboard.com/img/2005/12/kelly-clarkson-091-53x53.jpg,2006
46,Laffy Taffy,D4L,https://charts-static.billboard.com/img/2005/07/d4l-ba3-53x53.jpg,2006
47,What You Know,T.I.,https://charts-static.billboard.com/img/2006/02/ti-e27-53x53.jpg,2006
48,Dirty Little Secret,The All-American Rejects,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg,2006
49,Savin' Me,Nickelback,https://charts-static.billboard.com/img/2006/02/nickelback-v3l-savin-me-ydr-53x53.jpg,2006
50,Don't Forget About Us,Mariah Carey,https://charts-static.billboard.com/img/2005/10/mariah-carey-tgq-53x53.jpg,2006
51,Sexy Love,Ne-Yo,https://charts-static.billboard.com/img/2006/06/ne-yo-kuu-sexy-love-yc3-53x53.jpg,2006
52,U And Dat,E-40 Featuring T-Pain & Kandi Girl,https://charts-static.billboard.com/img/2006/04/e-40-gbj-53x53.jpg,2006
53,Far Away,Nickelback,https://charts-static.billboard.com/img/2006/01/nickelback-5lu-53x53.jpg,2006
54,What's Left Of Me,Nick Lachey,https://charts-static.billboard.com/img/2006/03/nick-lachey-lm6-53x53.jpg,2006
55,So What,Field Mob Featuring Ciara,https://charts-static.billboard.com/img/2006/03/field-mob-vkl-53x53.jpg,2006
