rank,music,main_artist,year,featuring1,featuring2,photo
1,Bad Day,Daniel Powter,2006,,,https://charts-static.billboard.com/img/1840/12/daniel-powter-nsa-53x53.jpg
2,Temperature,Sean Paul,2006,,,https://charts-static.billboard.com/img/2005/12/sean-paul-uyx-53x53.jpg
3,Promiscuous,Nelly Furtado,2006,Timbaland,,https://charts-static.billboard.com/img/2006/05/nelly-furtado-ezw-53x53.jpg
4,You're Beautiful,James Blunt,2006,,,https://charts-static.billboard.com/img/2005/07/james-blunt-nim-53x53.jpg
5,Hips Don't Lie,Shakira,2006,Wyclef Jean,,https://charts-static.billboard.com/img/2006/03/shakira-mhe-53x53.jpg
6,Unwritten,Natasha Bedingfield,2006,,,https://charts-static.billboard.com/img/2005/11/natasha-bedingfield-z7w-53x53.jpg
7,Crazy,Gnarls Barkley,2006,,,https://charts-static.billboard.com/img/2006/04/gnarls-barkley-bom-53x53.jpg
8,Ridin',Chamillionaire,2006,Krayzie Bone,,https://charts-static.billboard.com/img/2006/01/chamillionaire-brc-53x53.jpg
9,SexyBack,Justin Timberlake,2006,,,https://charts-static.billboard.com/img/2006/07/justin-timberlake-bcj-53x53.jpg
10,Check On It,Beyonce,2006,Slim Thug,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
11,Be Without You,Mary J. Blige,2006,,,https://charts-static.billboard.com/img/2017/07/mary-j-blige-53x53.jpg
12,Grillz,Nelly,2006,"Paul Wall, Ali",Gipp,https://charts-static.billboard.com/img/2005/10/nelly-fmf-53x53.jpg
13,Over My Head (Cable Car),The Fray,2006,,,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg
14,Me & U,Cassie,2006,,,https://charts-static.billboard.com/img/2006/03/cassie-68b-53x53.jpg
15,Buttons,The Pussycat Dolls,2006,Snoop Dogg,,https://charts-static.billboard.com/img/2006/04/the-pussycat-dolls-t1l-53x53.jpg
16,Run It!,Chris Brown,2006,,,https://charts-static.billboard.com/img/2005/07/chris-brown-cte-53x53.jpg
