rank,music,main_artist,year,featuring1,featuring2,photo,id_music,id_position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,uri,duration_ms
1,Bad Day,Daniel Powter,2006,,,https://charts-static.billboard.com/img/1840/12/daniel-powter-nsa-53x53.jpg,0mUyMawtxj1CJ76kn9gIZK,0,0.599,0.785,-4.013,0.0309,0.448,0.00336,140.046,spotify:track:0mUyMawtxj1CJ76kn9gIZK,233640.0
2,Temperature,Sean Paul,2006,,,https://charts-static.billboard.com/img/2005/12/sean-paul-uyx-53x53.jpg,0k2GOhqsrxDTAbFFSdNJjT,1,0.951,0.6,-4.675,0.0685,0.106,0.0,125.04,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,218573.0
3,Promiscuous,Nelly Furtado,2006,Timbaland,,https://charts-static.billboard.com/img/2006/05/nelly-furtado-ezw-53x53.jpg,47aQT2aV12TyilaoYi1NiD,2,0.795,0.978,-6.097,0.0459,0.046,8.29e-05,114.321,spotify:track:47aQT2aV12TyilaoYi1NiD,242200.0
4,You're Beautiful,James Blunt,2006,,,https://charts-static.billboard.com/img/2005/07/james-blunt-nim-53x53.jpg,,3,,,,,,,,,
5,Hips Don't Lie,Shakira,2006,Wyclef Jean,,https://charts-static.billboard.com/img/2006/03/shakira-mhe-53x53.jpg,3ZFTkvIE7kyPt6Nu3PEa7V,4,0.778,0.824,-5.892,0.0712,0.284,0.0,100.024,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,218093.0
6,Unwritten,Natasha Bedingfield,2006,,,https://charts-static.billboard.com/img/2005/11/natasha-bedingfield-z7w-53x53.jpg,1D1nixOVWOxvNfWi0UD7VX,5,0.706,0.801,-6.333,0.0399,0.00577,0.0,100.013,spotify:track:1D1nixOVWOxvNfWi0UD7VX,259333.0
7,Crazy,Gnarls Barkley,2006,,,https://charts-static.billboard.com/img/2006/04/gnarls-barkley-bom-53x53.jpg,2N5zMZX7YeL1tico8oQxa9,6,0.835,0.741,-1.609,0.0339,0.0172,0.0577,111.963,spotify:track:2N5zMZX7YeL1tico8oQxa9,182066.0
8,Ridin',Chamillionaire,2006,Krayzie Bone,,https://charts-static.billboard.com/img/2006/01/chamillionaire-brc-53x53.jpg,3kZoay4ANo86ehb6s4RwS9,7,0.788,0.798,-4.68,0.0997,0.189,0.0,143.051,spotify:track:3kZoay4ANo86ehb6s4RwS9,303053.0
9,SexyBack,Justin Timberlake,2006,,,https://charts-static.billboard.com/img/2006/07/justin-timberlake-bcj-53x53.jpg,0O45fw2L5vsWpdsOdXwNAR,8,0.967,0.583,-5.562,0.0789,0.0584,0.0,117.0,spotify:track:0O45fw2L5vsWpdsOdXwNAR,242733.0
10,Check On It,Beyonce,2006,Slim Thug,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,2RWxrpsFshOBFwRBRstUlQ,9,0.705,0.796,-6.845,0.267,0.0708,0.0,166.042,spotify:track:2RWxrpsFshOBFwRBRstUlQ,210453.0
